Functional Group,SMARTS Pattern
Alkene,"[CX3]=[CX3]"
Alkyne,[CX2]#[CX2]
Allene,[CX3]=[CX2]=[CX3]
Chloride,[ClX1]
Fluoride,[FX1]
Bromide,[BrX1]
Iodide,[IX1]
#Alkylchloride,[ClX1;$([*][CX4])]
#Alkylfluoride,[FX1;$([*][CX4])]
#Alkylbromide,[BrX1;$([*][CX4])]
#Alkyliodide,[IX1;$([*][CX4])]
oxy,[OX2H0]
Hydroxy,[OX2H]
#Primary hydroxyl,"[OX2H;$([O][CX4H2])]"
#Secondary hydroxyl,"[OX2H;$([O][CX4H])]"
#Tertiary hydroxyl,"[OX2H;$([O][CX4D4])]"
Ether,"[OD2;$([O]([#6])[#6])]"
#Dialkylether,"[OX2;$([*]([CX4])[CX4])]"
#Alkylarylether,"[OX2;$([*](c)[CX4])]"
#Diarylether,[OX2;$([*]([c])[c])]
Oxonium,"[O+;!$([O]~[!#6]);!$([S]*~[#7,#8,#15,#16])]"
Amine,[NX3+0]
#Primary aliphatic amine,"[NX3H2+0,NX4H3+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
#Secondary aliphatic amine,"[NX3H1+0,NX4H2+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
#Tertiary aliphatic amine,"[NX3H0+0,NX4H1+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
#Quaternary aliphatic ammonium,"[NX4H0+;!$([N][!C]);!$([N]*~[#7,#8,#15,#16])]"
#Primary aromatic amine,"[NX3H2+0,NX4H3+;$([N][c])]"
#Secondary aromatic amine,"[NX3H1+0,NX4H2+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]"
#Tertiary aromatic amine,"[NX3H0+0,NX4H1+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]"
#Quaternary aromatic ammonium,"[NX4H0+;!$([N][!c]);!$([N]*~[#7,#8,#15,#16])]"
#Secondary mixed amine,"[NX3H1+0,NX4H2+;$([N]([c])[C])]"
#Tertiary mixed amine,"[NX3H0+0,NX4H1+;$([N]([c])([C])[#6]);!$([N]*~[#7R0,#8R0,#15R0,#16R0])]"
#Quaternary mixed ammonium,"[NX4H0+;$([N]([c])([C])[#6][#6]);!$([N]*~[#7R0,#8R0,#15R0,#16R0])]"
Ammonium,"[NX4+]"
Sulfide,[SX2H0]
Thioether,"[SD2;$([S]([#6])[#6])]"
#Dialkylthioether,"[SX2;$([*]([CX4])[CX4])]"
#Alkylarylthioether,[SX2;$([*](c)[CX4])]
#Diarylthioether,[SX2;$([*]([c])[c])]
Thiol,"[SX2H]"
#Alkylthiol,"[SX2H;$([O][CX4])]"
Disulfide,[SX2D2][SX2D2]
"1,2-Diol","[OX2H][CX4;!$(C([OX2H])[O,S,#7,#15])][CX4;!$(C([OX2H])[O,S,#7,#15])][OX2H]"
"1,1-Diol","[OX2H][CX4;!$(C([OX2H])([OX2H])[O,S,#7,#15])][OX2H]"
Hydroperoxide,[OX2H][OX2]
Peroxo,[OX2D2][OX2D2]
Organolithium compounds,"[LiX1][#6,#14]"
Organomagnesium compounds,"[MgX2][#6,#14]"
Organometallic compounds,[!#1;!#5;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#33;!#34;!#35;!#52;!#53;!#85]~[#6;!-]
Carbonyl,[CX3](=[OX1])
Thionyl,[SX3](=[OX1])
Aldehyde,"[$([CX3H]),$([CX3H2])]=[OX1]"
Ketone,[CX3;$([C]([#6])[#6])](=[OX1])
Thioaldehyde,"[$([CX3H][#6]),$([CX3H2])]=[SX1]"
Thioketone,[CX3;$([C]([#6])[#6])](=[SX1])
Imine,"[NX2,NX3+]=[CX3,cX3]"
Iminophosphine,"[NX2,NX3+]=[PX2]"
Iminoborane,"[NX2,NX3+]=[BX2]"
Immonium,"[NX3+;!$([N][!#6]);!$([N][CX3]=[#7,#8,#15,#16])]"
Oxime,"[NX2](=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])])[OX2H]"
Oximether,"[NX2](=[CX3;$([CH2]),$([CH][#6]),$([C]([#6])[#6])])[OX2][#6;!$(C=[#7,#8])]"
Acetal,"[OX2]([#6;!$(C=[O,S,N])])[CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]"
Hemiacetal,"[OX2H][CX4;!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]"
Aminal,"[NX3v3;!$(NC=[#7,#8,#15,#16])]([#6])[CX4;!$(C(N)(N)[!#6])][NX3v3;!$(NC=[#7,#8,#15,#16])][#6]"
Hemiaminal,"[NX3v3;!$(NC=[#7,#8,#15,#16])]([#6])[CX4;!$(C(N)(N)[!#6])][OX2H]"
