Functional Group,SMARTS Pattern
Barbiturate,C1C(=O)NC(=O)NC1=O
aziridine,C1CN1
2H-azirine,C1=NC1
oxirane,C1CO1
thiirane,C1CS1
azetidine,C1CNC1
azetin,C1=NCC1
azete,C1=CN=C1
"1,3-diazetidine",C1NCN1
oxetane,C1COC1
2H-oxete,C1=COC1
thietane,C1CSC1
2H-thiete,C1=CSC1
azetidin-2-one,O=C1CCN1
pyrrolidine,C1CCNC1
3-pyrroline,C1=CCNC1
2-pyrroline,C1=CNCC1
2H-pyrrole,C1=CCN=C1
1H-pyrrole,c1cc[n]c1
pyrazolidine,C1CNNC1
imidazolidine,C1CNCN1
2-pyrazoline,C1=NNCC1
2-imidazoline,C1=NCCN1
pyrazole,c1cn[n]c1
imidazole,c1c[n]cn1
"1H-1,2,4-triazole",c1nc[n]n1
"4H-1,2,4-triazole",c1[n]cnn1
"2H-1,2,3-triazole",c1cn[n]n1
"1H-1,2,3-triazole",c1c[n]nn1
tetrazole,c1nn[n]n1
"1,3-oxathiolane",C1CSCO1
"1,2,5-oxadiazole",c1cnon1
"1,2,3-oxadiazole",c1conn1
"1,3,4-thiadiazole",c1nncs1
"1,2,5-thiadiazole",c1cnsn1
tetrahydrofuran,C1CCOC1
furan,c1ccoc1
"1,3-dioxolane",C1COCO1
tetrahydrothiophene,C1CCSC1
thiophene,c1ccsc1
oxazole,c1cocn1
isoxazole,c1cnoc1
isothiazole,c1cnsc1
thiazole,c1cscn1
"1,2-oxathiolane",C1COSC1
sulfolane,O=S1(=O)CCCC1
"2,4-thiazolidinedione",O=C1CSC(=O)N1
succinimide,O=C1CCC(=O)N1
2-oxazolidone,O=C1NCCO1
hydantoin,O=C1CNC(=O)N1
piperidine,C1CCNCC1
pyridine,c1ccncc1
piperazine,C1CNCCN1
pyridazine,c1ccnnc1
pyrimidine,c1cncnc1
pyrazine,c1cnccn1
"1,2,4-triazine",c1cnncn1
"1,3,5-triazine",c1ncncn1
tetrahydropyran,C1CCOCC1
2H-pyran,C1=CCOC=C1
4H-pyran,C1=COC=CC1
pyrylium,c1cc[o+]cc1
"1,4-dioxane",C1COCCO1
"1,4-dioxine",C1=COC=CO1
thiane,C1CCSCC1
2H-thiopyran,C1=CCSC=C1
4H-thiopyran,C1=CSC=CC1
"1,3-dithiane",C1CSCSC1
"1,4-dithiane",C1CSCCS1
"1,3,5-trithiane",C1SCSCS1
morpholine,C1COCCN1
"4H-1,2-oxazine",C1=CON=CC1
oxazin,C1=CNOC=C1
"6H-1,2-oxazine",C1=CCON=C1
"4H-1,3-oxazine",C1=COC=NC1
"1,2-thiazine",C1=CNSC=C1
"1,4-thiazine",C1=CSCC=N1
cytosine,Nc1ccnc(=O)[n]1
thymine,Cc1c[n]c(=O)[n]c1=O
uracil,O=c1cc[n]c(=O)[n]1
"Thiomorpholine 1,1-dioxide",O=S1(=O)CCNCC1
thiomorpholine,C1CSCCN1
"4H-1,4-thiazine",C1=CSC=CN1
"2H-1,2-thiazine",C1=CNSC=C1
"1,4,5,6-tetrahydrocyclopenta[b]pyrrole",c1cc2c([n]1)CCC2
pyrrolizidine,C1CC2CCCN2C1
"1,4-dihydropyrrolo[3,2-b]pyrrole",c1cc2[n]ccc2[n]1
"furo[2,3-b]pyrrole",c1cc2ccoc2[n]1
"1,6-dihydropyrrolo[2,3-b]pyrrole",c1cc2cc[n]c2[n]1
"2,3-dihydro-1H-indene",c1ccc2c(c1)CCC2
indene,C1=Cc2ccccc2C1
indoline,c1ccc2c(c1)CCN2
3H-indole,C1=Nc2ccccc2C1
1H-indole,c1ccc2[n]ccc2c1
2H-isoindole,c1ccc2c[n]cc2c1
"pyrazolo[1,5-a]pyrimidine",c1cnc2ccnn2c1
7-azaindazole,c1cnc2[n]ncc2c1
"1,2-benzisoxazole",c1ccc2oncc2c1
anthranil,c1ccc2nocc2c1
"3a,7a-dihydro-1,2-benzothiazol-3-one",O=C1NSC2C=CC=CC12
decahydroisoquinoline,C1CCC2CNCCC2C1
purine,c1ncc2[n]cnc2n1
"1,2-benzisothiazole",c1ccc2sncc2c1
benzofuran,c1ccc2occc2c1
"2,1-benzisothiazole",c1ccc2nscc2c1
adenine,Nc1ncnc2nc[n]c12
guanine,Nc1nc2nc[n]c2c(=O)[n]1
"4H-furo[3,2-b]pyrrole",c1cc2occc2[n]1
"4H-thieno[3,2-b]pyrrole",c1cc2sccc2[n]1
"6H-thieno[2,3-b]pyrrole",c1cc2ccsc2[n]1
"2H-1,3-oxazine",C1=COCN=C1
5-aza-oxine,C1=CN=COC1
"4H-1,4-oxazine",C1=COC=CN1
"2H-1,4-oxazine",C1=COCC=N1
indolizine,c1ccn2cccc2c1
1H-indazole,"c1ccc2[n]ncc2c1"
benzimidazole,c1ccc2[n]cnc2c1
7-azaindole,c1cnc2[n]ccc2c1
4-azaindole,c1cnc2cc[n]c2c1
5-azaindole,c1cc2[n]ccc2cn1
isobenzofuran,c1ccc2cocc2c1
benzo[c]thiophene,c1ccc2cscc2c1
benzo[b]thiophene,c1ccc2sccc2c1
"benzo[c][1,2,5]thiadiazole",c1ccc2nsnc2c1
benzo[d]oxazole,c1ccc2ocnc2c1
benzo[d]thiazole,c1ccc2scnc2c1
decahydroquinoline,C1CCC2NCCCC2C1
"1,2-dihydroquinoline",C1=Cc2ccccc2NC1
quinoxaline,c1ccc2nccnc2c1
phthalazine,c1ccc2cnncc2c1
tetrahydroquinoline,c1ccc2c(c1)CCCN2
quinazoline,c1ccc2ncncc2c1
cinnoline,c1ccc2nnccc2c1
"1,2-dihydroisoquinoline",C1=Cc2ccccc2CN1
quinoline,c1ccc2ncccc2c1
isoquinoline,c1ccc2cnccc2c1
4H-quinolizine,C1=CCN2C=CC=CC2=C1
"1,8-naphthyridine",c1cnc2ncccc2c1
"pyrido[3,2-d]pyrimidine",c1cnc2cncnc2c1
"pyrido[4,3-d]pyrimidine",c1cc2ncncc2cn1
"pyrido[3,4-b]pyrazine",c1cc2nccnc2cn1
"pyrido[2,3-b]pyrazine",c1cnc2nccnc2c1
"1,3-benzoxazine",C1=NCOc2ccccc21
2H-chromene,C1=Cc2ccccc2OC1
1H-isochromene,C1=Cc2ccccc2CO1
3H-isochromene,C1=c2ccccc2=COC1
2H-chromen-2-one,O=c1ccc2ccccc2o1
benzoxazine,C1=Cc2ccccc2ON1
pteridine,c1cnc2ncncc2n1
"2H-1,4-benzoxazine",C1=Nc2ccccc2OC1
quinolin-2(1H)-one,O=c1ccc2ccccc2[n]1
isoquinolin-1(2H)-one,O=c1[n]ccc2ccccc12
fluorene,c1ccc2c(c1)Cc1ccccc1-2
carbazole,c1ccc2c(c1)[n]c1ccccc12
dibenzofuran,c1ccc2c(c1)oc1ccccc12
acridine,c1ccc2nc3ccccc3cc2c1
phenazine,c1ccc2nc3ccccc3nc2c1
phenoxazine,c1ccc2c(c1)Nc1ccccc1O2
phenothiazine,c1ccc2c(c1)Nc1ccccc1S2
phenoxathiine,c1ccc2c(c1)Oc1ccccc1S2
quinuclidine,C1CN2CCC1CC2
dihydroazepine,C1=CCCNC=C1
azocane,C1CCCNCCC1
1-azaadamantane,C1C2CC3CC1CN(C2)C3
2-azaadamantane,C1C2CC3CC1CC(C2)N3
"2,5-dihydroazepine",C1=CCNC=CC1
azocine,C1=C\C=C/N=C\C=C/1
"4,5-dihydro-3H-azepine",C1=CN=CCCC1
azepine,C1=CC=CNC=C1
thiocane,C1CCCSCCC1
2H-azepine,C1=CC=NCC=C1
3H-azepine,C1=CCC=NC=C1
4H-azepine,C1=CCC=CN=C1
"1,2-diazepine",C1=CC=NNC=C1
"1,3-diazepine",C1=CC=NCN=C1
"1H-1,4-diazepine",C1=CNC=CN=C1
oxepane,C1CCCOCC1
thiepine,C1=CC=CSC=C1
"1,4-thiazepine",C1=CSC=CN=C1
azonane,C1CCCCNCCC1
azecine,c1ccccncccc1
1-oxaspiro[4.5]decane,C1CCC2(CC1)CCCO2
1-oxaspiro[4.4]nonan-2-one,O=C1CCC2(CCCC2)O1
2-oxa-7-azaspiro[3.5]nonane,C1CC2(CCN1)COC2
"1,4-dioxa-7-azaspiro[4.4]nonane",C1CC2(CN1)OCCO2
"2,9-diazaspiro[5.5]undecan-1-one",O=C1NCCCC12CCNCC2
"1,3-Diazaspiro[4.4]non-1-en-4-one",O=C1NC=NC12CCCC2
"1,3,8-triazaspiro[4.5]decan-4-one",O=C1NCNC12CCNCC2
"8-azaspiro[4.5]decane-7,9-dione",O=C1CC2(CCCC2)CC(=O)N1
"1,4-dithia-7-azaspiro[4.4]nonane",C1CC2(CN1)SCCS2
6-azaindole,c1cc2cc[n]c2cn1
"1,3a,4,6a-tetrahydropyrrolo[3,2-b]pyrrole",C1=CC2NC=CC2N1
"spiro[cyclobutane-1,3'-indole]",C1=Nc2ccccc2C12CCC2
